항목그룹명	CC코드	CC명	항목구분명	항목코드	항목명	01월	02월	03월	04월	05월	06월	07월	08월	09월	10월	11월	12월	합계
노무비	SM_QSF	품질관리실 품질관리 6팀	급료와임금(제조)	5102210	급료와임금(제조)	"85,786,900"	"85,726,370"	"85,726,370"	"87,719,900"	"87,791,400"	0	0	0	0	0	0	0	"432,750,940"
노무비	SM_QSF	품질관리실 품질관리 6팀	급료와임금(제조)	5102220	상여금(제조)	"13,035,449"	"7,643,763"	"7,234,088"	"7,626,982"	"7,597,728"	0	0	0	0	0	0	0	"43,138,010"
노무비	SM_QSF	품질관리실 품질관리 6팀	급료와임금(제조)	5102230	학비보조금(제조)	0	0	"2,564,100"	0	0	0	0	0	0	0	0	0	"2,564,100"
노무비	SM_QSF	품질관리실 품질관리 6팀	급료와임금(제조)	5102240	시간외근무수당(제조)	"9,119,670"	"6,508,220"	"5,237,300"	"3,474,170"	"5,966,190"	0	0	0	0	0	0	0	"30,305,550"
노무비	SM_QSF	품질관리실 품질관리 6팀	급료와임금(제조)	5102250	휴가보상금(제조)	"1,989,287"	"1,977,013"	"1,977,013"	"1,977,027"	"1,966,550"	0	0	0	0	0	0	0	"9,886,890"
노무비	SM_QSF	품질관리실 품질관리 6팀	급료와임금(제조)	5102260	시상비(제조)	"1,931,537"	"-605,534"	"657,043"	"692,047"	"653,565"	0	0	0	0	0	0	0	"3,328,658"
노무비	SM_QSF	품질관리실 품질관리 6팀	급료와임금(제조)	5102280	제수당(제조)	"1,800,000"	"1,800,000"	"6,800,000"	"1,800,000"	"6,800,000"	0	0	0	0	0	0	0	"19,000,000"
노무비	SM_QSF	품질관리실 품질관리 6팀	퇴직급여전입액(제조)	5102410	퇴직급여충당금전입액(제조)	"22,155,163"	"-8,846,090"	"6,586,189"	"6,586,236"	"6,551,334"	0	0	0	0	0	0	0	"33,032,832"
노무비	SM_QSF	품질관리실 품질관리 6팀	퇴직급여전입액(제조)	5102430	퇴직급여-확정기여형(제조)	0	0	0	0	0	0	0	0	0	0	0	0	0
노무비	SM_SAO	송도공장 제조팀	급료와임금(제조)	5102210	급료와임금(제조)	"121,445,280"	"123,802,800"	"123,802,800"	"127,314,520"	"128,479,800"	0	0	0	0	0	0	0	"624,845,200"
노무비	SM_SAO	송도공장 제조팀	급료와임금(제조)	5102220	상여금(제조)	"18,453,794"	"11,038,836"	"10,447,197"	"11,069,615"	"11,119,023"	0	0	0	0	0	0	0	"62,128,465"
노무비	SM_SAO	송도공장 제조팀	급료와임금(제조)	5102230	학비보조금(제조)	0	0	"5,007,800"	0	0	0	0	0	0	0	0	0	"5,007,800"
노무비	SM_SAO	송도공장 제조팀	급료와임금(제조)	5102240	시간외근무수당(제조)	"11,402,660"	"11,011,650"	"14,157,690"	"11,437,130"	"12,502,210"	0	0	0	0	0	0	0	"60,511,340"
노무비	SM_SAO	송도공장 제조팀	급료와임금(제조)	5102250	휴가보상금(제조)	"2,816,159"	"2,855,129"	"2,855,129"	"2,869,410"	"2,877,982"	0	0	0	0	0	0	0	"14,273,809"
노무비	SM_SAO	송도공장 제조팀	급료와임금(제조)	5102260	시상비(제조)	"2,734,404"	"-874,489"	"948,876"	"3,263,793"	"956,471"	0	0	0	0	0	0	0	"7,029,055"
노무비	SM_SAO	송도공장 제조팀	급료와임금(제조)	5102280	제수당(제조)	"593,470"	"720,510"	"864,300"	"7,494,130"	"12,597,670"	0	0	0	0	0	0	0	"22,270,080"
노무비	SM_SAO	송도공장 제조팀	퇴직급여전입액(제조)	5102410	퇴직급여충당금전입액(제조)	"31,364,229"	"-12,775,190"	"9,511,527"	"9,559,103"	"9,587,659"	0	0	0	0	0	0	0	"47,247,328"
노무비	SM_SAO	송도공장 제조팀	퇴직급여전입액(제조)	5102430	퇴직급여-확정기여형(제조)	0	0	0	0	0	0	0	0	0	0	0	0	0
노무비	SM_SDO	송도공장 생산지원팀	급료와임금(제조)	5102210	급료와임금(제조)	"22,065,500"	"22,065,500"	"22,065,500"	"22,937,000"	"22,937,000"	0	0	0	0	0	0	0	"112,070,500"
노무비	SM_SDO	송도공장 생산지원팀	급료와임금(제조)	5102220	상여금(제조)	"3,352,890"	"1,967,466"	"1,862,017"	"1,994,306"	"1,985,039"	0	0	0	0	0	0	0	"11,161,718"
노무비	SM_SDO	송도공장 생산지원팀	급료와임금(제조)	5102230	학비보조금(제조)	0	0	0	0	0	0	0	0	0	0	0	0	0
노무비	SM_SDO	송도공장 생산지원팀	급료와임금(제조)	5102240	시간외근무수당(제조)	"1,150,900"	"2,263,550"	0	"1,584,270"	"279,960"	0	0	0	0	0	0	0	"5,278,680"
노무비	SM_SDO	송도공장 생산지원팀	급료와임금(제조)	5102250	휴가보상금(제조)	"511,673"	"508,876"	"508,876"	"516,957"	"513,798"	0	0	0	0	0	0	0	"2,560,180"
노무비	SM_SDO	송도공장 생산지원팀	급료와임금(제조)	5102260	시상비(제조)	"496,819"	"-155,859"	"169,122"	"256,807"	"170,759"	0	0	0	0	0	0	0	"937,648"
노무비	SM_SDO	송도공장 생산지원팀	급료와임금(제조)	5102280	제수당(제조)	"530,000"	"530,000"	"530,000"	"550,000"	"5,550,000"	0	0	0	0	0	0	0	"7,690,000"
노무비	SM_SDO	송도공장 생산지원팀	퇴직급여전입액(제조)	5102410	퇴직급여충당금전입액(제조)	"5,698,598"	"-2,276,931"	"1,695,253"	"1,722,174"	"1,711,651"	0	0	0	0	0	0	0	"8,550,745"
노무비	SM_SDO	송도공장 생산지원팀	퇴직급여전입액(제조)	5102420	퇴직위로금(제조)	0	0	0	0	0	0	0	0	0	0	0	0	0
노무비	SM_SDO	송도공장 생산지원팀	퇴직급여전입액(제조)	5102430	퇴직급여-확정기여형(제조)	0	0	0	0	0	0	0	0	0	0	0	0	0
노무비	SM_SHO	송도공장 설비관리팀	급료와임금(제조)	5102210	급료와임금(제조)	"36,331,200"	"36,331,200"	"36,331,200"	"37,084,400"	"37,084,400"	0	0	0	0	0	0	0	"183,162,400"
노무비	SM_SHO	송도공장 설비관리팀	급료와임금(제조)	5102220	상여금(제조)	"5,520,580"	"3,239,459"	"3,065,837"	"3,224,377"	"3,209,394"	0	0	0	0	0	0	0	"18,259,647"
